case_type,beach_id,beach_name,forecast_date,actual,baseline_prob,baseline_pred,baseline_correct,jelly_prob,jelly_pred,jelly_correct,prob_gap_jelly_minus_base
Strong TP,13,Herzlia-Gaash,2017-06-26,1,0.9183204770088196,Yes,True,0.6769351959228516,Yes,True,-0.24138528108596802
Strong TN,10,Michmoret-Hadera,2022-09-07,0,0.34156954288482666,No,True,0.1182500422000885,No,True,-0.22331950068473816
Jelly wins (positive),17,Palmahim-Rishon,2022-07-22,1,0.43453654646873474,No,False,0.6137470602989197,Yes,True,0.17921051383018494
Jelly wins (negative),5,Tira-Shiqmona,2021-11-10,0,0.7860623002052307,Yes,False,0.12836961448192596,No,True,-0.6576926708221436
Both wrong (ambiguous),7,Dor-Atlit,2015-07-16,1,0.44099608063697815,No,False,0.4998165965080261,No,False,0.058820515871047974
Jelly confident miss,3,Kiryat Yam-Acco,2018-08-27,1,0.24167169630527496,No,False,0.12048237025737762,No,False,-0.12118932604789734
