Metric,Baseline,Your Model,Improvement
Accuracy,0.687903699354081,0.7037580739870816,0.015854374633000545
Precision,0.5529953917050692,0.6111111111111112,0.05811571940604199
Recall,0.2164111812443643,0.24797114517583407,0.03155996393146979
F1-Score,0.31108230719377833,0.3527902501603592,0.04170794296658087
Balanced Accuracy,0.565976596281738,0.5858924075900938,0.019915811308355735
ROC-AUC,0.6793249359241853,0.7121167571454985,0.03279182122131319
Sensitivity,0.2164111812443643,0.24797114517583407,0.03155996393146979
Specificity,0.9155420113191118,0.9238136700043535,0.008271658685241712
