# Per-beach aggregated qualitative/quantitative summary
# Primary model: GRU
# Threshold used for predictions: 0.5
# Each row aggregates all test samples for a beach.
# Metrics: accuracy/precision/recall/f1, confusion counts (tp/fp/tn/fn),
# and average contextual inputs from the lookback last day.
beach_id,beach_name,n_samples,actual_positive_rate,pred_positive_rate,avg_probability,avg_confidence_distance,avg_month_last,avg_diameter_cm_last,avg_observation_count_last,avg_sting_last,accuracy,precision,recall,f1,tp,fp,tn,fn
18,Ashdod-Palmahim,106,0.44339622641509435,0.3867924528301887,0.4131389856338501,0.16961829364299774,6.575471878051758,14.09520149230957,3.7169811725616455,0.2924528419971466,0.6981132075471698,0.6829268292682927,0.5957446808510638,0.6363636363636364,28,13,46,19
15,Jaffa-Tel Aviv,135,0.28888888888888886,0.25925925925925924,0.35845157504081726,0.20716218650341034,6.955555438995361,8.909013748168945,3.9555554389953613,0.3481481373310089,0.7481481481481481,0.5714285714285714,0.5128205128205128,0.5405405405405405,20,15,81,19
16,Rishon-Jaffa,26,0.34615384615384615,0.5384615384615384,0.4949169456958771,0.14749827980995178,6.384615421295166,16.143543243408203,3.307692289352417,0.3461538553237915,0.5769230769230769,0.42857142857142855,0.6666666666666666,0.5217391304347826,6,8,9,3
19,Ashkelon-Ashdod,178,0.3146067415730337,0.24719101123595505,0.3497275114059448,0.2126612663269043,6.539325714111328,6.499172210693359,2.9775280952453613,0.15168538689613342,0.7303370786516854,0.5909090909090909,0.4642857142857143,0.52,26,18,104,30
17,Palmahim-Rishon,175,0.37714285714285717,0.37714285714285717,0.41507455706596375,0.1742895543575287,6.920000076293945,11.724662780761719,4.354285717010498,0.22285714745521545,0.6114285714285714,0.48484848484848486,0.48484848484848486,0.48484848484848486,32,34,75,34
14,Tel Aviv-Herzlia,162,0.3395061728395062,0.16049382716049382,0.3103865087032318,0.22942154109477997,7.104938507080078,23.357769012451172,3.419753074645996,0.1419753134250641,0.7098765432098766,0.6538461538461539,0.3090909090909091,0.41975308641975306,17,9,98,38
9,Hadera-Jisr a zarqa,108,0.3148148148148148,0.17592592592592593,0.33015334606170654,0.19777190685272217,6.296296119689941,14.156635284423828,2.777777671813965,0.1666666716337204,0.7129629629629629,0.5789473684210527,0.3235294117647059,0.4150943396226416,11,8,66,23
11,Natanya-Michmoret,129,0.2248062015503876,0.15503875968992248,0.3225928544998169,0.20081272721290588,6.922480583190918,6.481930255889893,3.3333332538604736,0.21705426275730133,0.7751937984496124,0.5,0.3448275862068966,0.40816326530612246,10,10,90,19
7,Dor-Atlit,243,0.2880658436213992,0.12345679012345678,0.29291248321533203,0.23136405646800995,6.4938273429870605,14.794076919555664,3.6543209552764893,0.12757201492786407,0.7448559670781894,0.6333333333333333,0.2714285714285714,0.38,19,11,162,51
12,Gaash-Natanya,117,0.3418803418803419,0.3418803418803419,0.3976113796234131,0.18772317469120026,6.769230842590332,10.22549819946289,3.059828996658325,0.2649572789669037,0.5726495726495726,0.375,0.375,0.375,15,25,52,25
10,Michmoret-Hadera,177,0.384180790960452,0.22033898305084745,0.3596302270889282,0.19506986439228058,6.079095840454102,14.813636779785156,3.3898305892944336,0.20903955399990082,0.6214689265536724,0.5128205128205128,0.29411764705882354,0.37383177570093457,20,19,90,48
8,Jisr a zarqa-Dor,69,0.3333333333333333,0.14492753623188406,0.30077236890792847,0.22512173652648926,6.637681007385254,83.04227447509766,3.2173912525177,0.14492753148078918,0.6666666666666666,0.5,0.21739130434782608,0.30303030303030304,5,5,41,18
3,Kiryat Yam-Acco,138,0.37681159420289856,0.12318840579710146,0.3240949511528015,0.1872786432504654,6.282608509063721,10.850774765014648,2.95652174949646,0.1304347813129425,0.6304347826086957,0.5294117647058824,0.17307692307692307,0.2608695652173913,9,8,78,43
5,Tira-Shiqmona,183,0.3114754098360656,0.12021857923497267,0.28641292452812195,0.23598720133304596,7.005464553833008,8.143468856811523,2.9180328845977783,0.17486338317394257,0.6775956284153005,0.45454545454545453,0.17543859649122806,0.25316455696202533,10,12,114,47
13,Herzlia-Gaash,143,0.27972027972027974,0.16783216783216784,0.32721081376075745,0.1933320313692093,6.545454502105713,26.17045021057129,2.9510488510131836,0.27272728085517883,0.6643356643356644,0.3333333333333333,0.2,0.25,8,16,87,32
6,Atlit-Tira,117,0.2564102564102564,0.09401709401709402,0.2954081892967224,0.21579094231128693,6.435897350311279,9.842592239379883,2.4102563858032227,0.1538461595773697,0.7350427350427351,0.45454545454545453,0.16666666666666666,0.2439024390243902,5,6,81,25
1,Nahariya-Rosh Hniqra,144,0.3263888888888889,0.1388888888888889,0.3404652774333954,0.1819484680891037,6.416666507720947,5.919527053833008,4.25,0.1944444477558136,0.6458333333333334,0.4,0.1702127659574468,0.23880597014925373,8,12,85,39
2,Acco-Nahariyah,79,0.379746835443038,0.08860759493670886,0.3334897756576538,0.18209345638751984,5.632911205291748,12.747363090515137,2.7848100662231445,0.16455696523189545,0.6329113924050633,0.5714285714285714,0.13333333333333333,0.21621621621621623,4,3,46,26
4,Shiqmona-Kiryat yam,105,0.3047619047619048,0.0761904761904762,0.2844613492488861,0.2267865389585495,6.61904764175415,8.97928524017334,2.799999952316284,0.0476190485060215,0.6952380952380952,0.5,0.125,0.2,4,4,69,28
20,Gaza-Ashkelon,1,0.0,0.0,0.2930838465690613,0.20691615343093872,3.0,24.75,2.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0
